start	end	text
0	7520	Hi, it's Nick Hawkes, and welcome to the second episode of Talking Matters. Now, some extraordinary
7520	13920	lives are high profile and widely documented, and others less so. Sitting in the latter category
13920	19640	is the incredible life of Jason R. Day. Unable to speak at 10 years of age and still unable
19640	24840	to read or write till he was 18, the odds of him becoming a trailblazing academic were
24840	31280	extremely slim. Yet he is. That he might raise a million pounds for charity 10 years
31280	37720	ahead of his own schedule would also be unpredictable. But such is his amazing life. Humble, engaging
37720	44680	and inspiring, I enjoyed the pleasure of talking to Jason in 2021. And whilst the conversation
44680	52400	happened some time ago, the story is as impactful and inspiring as ever. So please like, share,
52400	57480	review or do whatever positive thing you might care to. If you find this conversation
57480	63320	useful, it all helps. Thank you. Right, enjoy. So Jason, welcome.
63320	65560	Welcome, Nick. How are you? Are you well?
65560	71320	Yeah, I'm all right, man. I'm pretty good, actually. Today was nice, just to give listeners
71320	76040	a bit of context. We're recording this. We're still in the sort of lockdown phase, but we're
76040	80360	sort of just emerging, blinking from it in a way. And we've had a little bit of nice
80360	85000	weather lately. And I'm pretty good because a bit of nice weather has had a big effects
85000	90600	or a big positive effects on me. So I'm, I'm in decent shape, decent shape. How about you,
90600	91600	man?
91600	94320	That's really good to hear, Nick. I mean, you know, what's really interesting is, you
94320	97600	know, when people say like the weather has an impact on my mood. I mean, that's not the
97600	100880	same for me. But we'll say this when you're kind of stepping into the glorious sun, you're
100880	105080	thinking, do you know what, something about that? There's something in that because, yeah,
105080	108560	everyone's mood just completely lifted and walking around, you're seeing people kind
108560	112360	of a bit lighter in spirit, if nothing else. So it's great.
112360	117720	It definitely does make a difference. And in this sort of conversation, I think we'll
117720	123400	in a bit, we'll move into the more historical sort of factors that shape you and the things
123400	127080	that you experienced on your journey. But maybe first, we can just talk about like the
127080	132360	last year. So while we're in this phase of lockdown and talking all about that, what
132360	137240	are the main things that you've learned? Do you think in the last year, what have you
137240	142800	done away, having learned from this crazy period that we've all lived through?
142800	147760	That's great. I mean, to be honest, Nick, I think the thing that I've learned the most
147760	152960	is I never was someone that took things for granted. But I think, you know, friendships,
152960	156680	people, you know, once we come out of this madness completely, I'm definitely going to
156680	162240	cherish it even more than I already did. And I think that's a huge thing. I think preservation
162240	167800	of of self and other people, I think is really important. Recognizing that we're all in a
167800	171200	really fortunate situation in some way, shape or form, I don't think we'll ever get this
171200	175520	period of time again. So I think while it has been really difficult, I also think it's
175520	181320	been massively advantageous in terms of allowing people to reconnect with family in a way that
181320	186040	they may not have been able to before, because we're all on that hamster wheel of work. So
186040	190280	I mean, for me, I think it's always been important to draw out the positives from it. I think
190280	196600	there are some negatives clearly. But I think the positives are, you know, I've been able to
196600	200800	integrate and engage with family in a way that and friends actually, you know, in a way that
200800	206160	is quite novel. And it just it kind of is another string to all of our bows in terms
206160	210920	of how we maintain relationships with people. And I think, actually, there's been something
